title,company_name,company_link,location,description
Python Back-End Developer,ABTO Software,https://ua.indeed.com/cmp/Abto-Software?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp2i4rjv6a800&fromjk=519431ff3227ab7a,Львів,"
About Project:
 Web project for managing portable and temporary traffic signal products. Solutions to make road works safer, greener, and more efficient. The system can manage assets, check state, and change mode. The system allows organizing the hierarchy of responsible employees, adding different types of administrators, who can see different pieces of information related to assets, and control a large number of traffic lights properties.
 The technology stack of the Project:
 Python, FastAPI, Uvicorn, Pytest, Azure SQL, Pydantic (Models), boto3 (SQS), SQLAlchemy ([pyodbc] DB connection), alembic (DB migrations), Docker/Kubernetes.
 Team on our side: 1 FE, 1 PM
 Team on the customer’s side: CTO, BE
 Requirements:

 2+ years of experience with the programming language Python (preferably FastAPI framework);
 Experience with relational databases (MySQL or PostgreSQL);
 Experience with virtualization/containerization platforms (Docker / Kubernetes / Docker Swarm);
 Experience with version control (Git / GitLab);
 Aim to solve problems by himself using close cooperation with stakeholders;
 Proactive in communication;
 Level of English – Upper-intermediate.

 Responsibilities:

 Design and creation of sophisticated and maintainable code;
 Work in a dynamic Agile/Scrum-based environment;
 Play a major role as part of an engineering team;
 Demonstrate a passion for building high-quality software, love solving problems and facing new challenges;
 Be a proactive communicator who enjoys working closely with creative and technical peers;
 Analyze business requirements and convert them into scalable software solutions.

 Our benefits:

 Professional and career growth promotion;
 Competitive salary;
 Paid vacations and sick leaves;
 Medical insurance;
 Flexible working hours;
 Regular corporate social activities;
 Regular technical training at our office;
 English courses;
 Gym, etc.

"
Python / Django Developer,PROBEGIN,https://ua.indeed.com/cmp/Probegin?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp2lv5k98h802&fromjk=f651b58026f82619,Львів,"
Ever wondered how your Python code can help a mayor tailer market? Users of your made system all over the world? And yes, we’re talking about Europe, North America and Asia. Our, and so your client is one of the biggest international textile production companies, and needs your help to create and support a system to help him in their process.
 Join our team
 Are you the Python / Django developer to improve and extend our team? As a new team member you will be involved in the implementation of new functionalities for an existing Django based platform, writing unit tests and developing the REST API.
 Join our super friendly team and together tackle this, and possibly other challenging projects, to improve your personal and technological development. The team will consist of 3 self-driven professionals in Lviv, 7 in the Netherlands and 1 in Poland. Do you have what it takes, what are you waiting for?
 Your technical knowledge so far:

 Have a minimum of 2 years of commercial experience with Python/Django
 Have experience in REST API, Django REST Framework, JavaScript, jQuery, GiT, PostgreSQL, Unit tests, HTML and CSS
 Have experience in Linux Shell and have a good understanding of Linux OS
 Also have database knowledge, and the ability to write complex ORM queries.
 And you can understand the difference between ORM and plain SQL,
 Have a strong knowledge of OOP
 Knowing Flask, SCSS, React, Redux, Docker, Webpack is a big plus
 Are able to solve complex problems
 Have a good eye for detail

 Your responsibilities

 Develop and extend large Django based applications with REST API
 Writing unit test
 Integrating 3rd party solutions in the application
 Checking code on quality
 Writing clean PEP8 compliant code
 Meeting with team members
 Communicating directly to client on a daily basis

 We will offer you:

 Experienced, open-minded, professional teams
 Unique working environment where you communicate and work directly with client
 Regular Business Trips to the Netherlands
 Nice work environment where you work with Friends
 Competitive salary 
Excellent benefits 
Fresh and Tasty Coffee, Tea and Cookies
 Courses of English
 Five-days working week
 Health Insurance & Multisport Program
 Flexible Office hours, depending on the project
 Paid vacation (21 working days) and sick leave 
Career Planning, Development and Training
 Lots of company activities
 Work hard, play hard

"
Python Developer,Binariks,https://ua.indeed.com/cmp/Binariks?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp2pbi2fss002&fromjk=a2d439b5091d5af1,Львів,"
Binariks is looking for a highly motivated Python Developer for a healthcare project about the healing power of music and its positive impact on people with neurologic injuries and diseases. Using the product gives people access to song experiences that improve their ability to walk. Client's company built a partnership with the Universal Music Group - the world leader in music-based entertainment, so the product has a database with an outstanding amount of songs that can be used as a treatment. Just imagine - healing while enjoying your favorite song.
Team size: a few Scrum teams, each up to 5 team members. We're hiring people to build a new Scrum team that should contain 1 Senior backend (Python) Developer, 1 Python Developer, and 1 Senior Manual QA Engineer. Each team has its Product Manager/PO. Each team works on a separate backlog, but the collaboration between teams is encouraged and supported by the company.

Requirements:

Experience with Python, Django 3+ years
 Experience in cloud web development (preferably AWS)
 Strong experience with Terraform
 Familiarity in developing systems and/or applications subject to HIPAA/FDA compliance regulations
 Experience with data analytics tools or building artificial intelligence/machine learning cloud applications
 Familiarity with Docker and container orchestration
 Experience working in a start-up or small business environment
 Strategic, analytical, and mathematical mind, capable of evaluating and solving various complex problems
 Self-motivated attitude with the ability to multitask and thrive in a fast-paced start-up environment
 Interpersonal communication skills to support cross-team communications
 Agile and Scrum experience
 At least an Upper-Intermediate level of English for daily communication

Responsibilities:

Build innovative, high-quality, and high-performance applications that run on AWS using technologies, such as Django, Docker, and Python. We value the ability to learn and grow together above knowing any particular technology
 Manage clinical data within clinical databases and backend systems
 Drive technical investments from the early exploration of ideas to delivering integral parts of our stack, balancing short-term goals with long-term architectural vision
 Work collaboratively in a small, focused product team with other developers, QA engineers, and business stakeholders to develop backend cloud systems, partner integrations, and data support tools

We provide following for our employees:

18 working days of paid vacation
 10 working days of sick leave annually (5 days paid at 100% and 5 days at 75% rate of your average monthly salary)
 Medical insurance
 50% cost compensation for English courses at the office
 Flexible work schedule
 Additional days off for special occasions, national holidays off
 A competitive and rewarding salary based on performance appraisals/knowledge evaluation
 Possibility to share and gain knowledge on regular tech talks
 Friendly and professional team
 Innovative projects with advanced technologies
 Remote work
 Accounting service

"
Java Developer,EveryMatrix,https://ua.indeed.com/cmp/Everymatrix?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp2svnjv54800&fromjk=26f8097e5a5d7c10,Львів,"
EveryMatrix is looking for a Java Developer to join our OddsMatrix Quants team in Lviv or Zagreb.  Main responsibilities: As a member of OddsMatrix Quants Team, you’ll be working on extending and improving the odds model component – a scalable service, responsible for the calculation and maintaining the sport’s odds.  Requirements:

 Strong proficiency with Java 8/11 or newer
Strong experience and knowledge of OOP, data structures, algorithm complexity.
Experience with K8s & docker
Experience with multi-threaded environments, concurrency, parallel computing.
Spring ecosystem
Messaging brokers (Kafka, RabbitMQ or similar)
Experience with performance tuning & optimization (profilers, understanding how GC works, etc.)
Experience with CI/CD (Git, Maven, Jenkins, Gitlab, etc.).
Experience with best testing practices (Mockito, Junit, integration tests, etc.).
Good problem-solving skills, intelligence and efficiency
Good grasp of English, both written and spoken.
Patience and attention to detail
Ability to write testable and maintainable code, along with tests, to ensure minimal rejections from end users.

  Would be a plus if you have:

 Experience in the development of distributed systems
Base knowledge of probabilistic concepts and a mathematical background
Familiarity with Python
Experience with BigQuery.
An interest in sports or competitive games

 
Work Life Balance:

 Possibility of working remote;
Paid leave days and two extra days per year for every year up to 5 years working with us; 
100% covered 10 sick leave days per year (without a doctor’s note);
100% covered medical leave (with a doctor's note);
Sliding working schedule;
To support women candidates, we offer 21 weeks of maternity leave and 100% work from home until the child’s first birthday for mothers;
Men receive 4 weeks of paternity leave and can work from home until the child is 13 weeks old.

 Benefits and Office perks:

 Daily catered lunch or lunch allowance;
Private Medical insurance;
Gym membership;
Fresh fruits & snacks at the office;
Access to online learning platforms Udemy for Business and O’Reilly and budget for external training;
Massage at work;
In house English courses;
Frequent free-bar parties, annual whole-company parties (have previously rented our own planes to get everyone together!);
Lounge & Fun area.

"
Senior Python Developer with AWS,Binariks,https://ua.indeed.com/cmp/Binariks?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp30kejl1o800&fromjk=bb0c857f724f1d85,Львів,"


Project Description


 Customer

 Israel & Poland



 Office Location

      Lviv
    


 Product

 Our customer provides security camera monitors and care products like smart night lights for kids and parents for sleep monitoring and sleep management that are already used in 30+ countries. The company was founded in Israel in 1991, the products are manufactured in Israel and in China with medical certifications in Europe. Products are among the Top 20 on Amazon, with web and mobile solutions to monitor your home life balance and sleep value.


 Project Team

 8 web developers from Israel  2 mobile developers from Ukraine 2 QAs from India 




What We’re Looking For




 4+ years of professional experience with Python
 Highly skilled in working with Amazon Web Services
 CI/CD: GitHub Actions
 Experience with Pytest
 Serverless Lambda
 graph/NoSQL databases
 At least an Upper-Intermediate level of English for daily communication





 Your Responsibilities




 Developing high-quality, testable, and high-performant software using Agile practices
 Gathering requirements, setting priorities, and making precise decisions within deadlines
 Participation in the design and implementation of functional requirements
 Close work with code: active development, code reviewing, resolving potential problems





 Will be a plus




 Development experience with React





 Your Benefits



 18 days of paid annual leave



 10 sick leaves



 Additional days off for special occasions



 Medical Care



 Health check-up



 English Class



 Play Room



 IT Cluster membership



 Business Trip



 Tech Talks



 Training & Conferences



 Certification



 Accounting



 Corporate currency



 Work From Anywhere



"
Python/Golang Developer,PROBEGIN,https://ua.indeed.com/cmp/Probegin?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp349kkcot800&fromjk=e36078c7d5fe0dca,Львів,"
Our client is an startup company, based in Amsterdam The Netherlands. You will be part of the development team that builds the core engine of the project. You have in-depth knowledge of scraping unstructured internet data and turn that into useable business knowledge. You love research and development in a small, highly skilled team and have an inquisitive DNA.
 Your first goal will be to develop the MVP with the team. The MVP has been mapped out in a wireframe plus behavior of the various elements, by the marketing and businesspeople in the company. In daily standups the team will come together and share progress it is making.
 Requirements:

 At least 5 years Experience with software development
 Bachelor/Master in IT, Math or Computer Science
 You have a strong passion about software development and working with GO, Python, C#
 You have experience with Docker and scaling principles
 Your experienced with web scraping
 Bright and a strong work drive, drive to perform and grow
 Good knowledge and experience of building OOP
 Clean and Clear coding
 Working experience with the following Tools: Git, JIRA
 Excellent communication skills
 Proactively drive innovation with new ideas and options made available by new technologies
 Professional attitude and work ethics
 Good level of English (intermediate or upper intermediate)

 We will offer you:

 Experienced, open-minded, professional teams
 Unique working environment where you communicate and work directly with client
 Nice work environment where you work with Friends
 Competitive salary
 Excellent benefits
 Fresh and Tasty Coffee, Tea and Cookies
 Courses of English
 Five-days working week
 Health Insurance & Multisport Program
 Flexible Office hours, depending on the project
 Paid vacation (21 working days) and sick leave
 Career Planning, Development and Training
 Lots of company activities

 Interested to join this cool and innovative project? Send us your CV and motivation letter to hr@probegin.com
"
Senior Python developer,Quintagroup,https://ua.indeed.com/cmp/Quintagroup?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp37vsjv4g800&fromjk=90afe0bfa02b5d2c,Львів,"

Hey! How you doin`? Quintagroup is waiting for you!
 We are looking for Senior Python developers. Your mission will be part of the exciting environment and creating new features for the product.
 So, and now, we are looking for you and your experience.
 What should you do as a Python developer?
 Your future responsibilities:

Build new features in collaboration with the product team;
Create new software and application;
Write reusable, testable, and efficient code;
Contribute to architecture decisions and communicate openly with other engineers;
Work collaboratively with a highly talented development team;

Requirements for our new Python developer:

4+ years of experience with Python (Django, Celery);
2+ years of experience with AWS;
Strong knowledge of DB (PostgreSQL, MySQL);
Ability to work with distributed systems/databases;
Experience with building a high-load environment;
Ability to clearly communicate task statuses and schedules;
English - no less than upper-intermediate;
The desire to develop and learn new technologies;
Natural curiosity - you enjoy digging deeper to find the big picture;
Humility - you’re able to contribute to the team, ego aside;
Enthusiasm about helping others, especially team members.

We offer:

Interesting tasks, opportunities for career and professional growth;
Friendly atmosphere and good working conditions;
Regular team-buildings and corporate parties;
Competitive salary and bonuses;
Official employment;
In-office English classes;
Flexible working hours;
Сompensation for external training and courses.

Interested? We are waiting for your CV to jobs@quintagroup.com.


"
Senior AQA (SDET) with Python,StrongSD GmbH,https://ua.indeed.com/cmp/Strongsd-Gmbh?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp3bkl2h56000&fromjk=21e4229d665ba5db,Львів,"We are looking for a Senior Software Developer in Test, who loves to build great products. We want someone up for taking on challenges, keen on getting new skills, willing to compromise, and not afraid to fail. You will design new frameworks for automation tests. If you love challenges and solving problems, this is for you. 

 Tasks 



Build automated testing tools and frameworks.
Improve the existing QA process to make it more efficient and flexible.
Build automated tests to improve the quality of the product (web, mobile web, and native apps).
Understand\\analyze business priorities\\needs and adopt the test automation approach and efforts.
Teach/educate a variety of business & engineering stakeholders on QA methodologies.
 Requirements 



Language: Python (preferable).
Proven experience in building TA frameworks.
5+ years of experience in Software Quality Assurance or relatable work.
3+ years of working UI test automation including but not limited to web, mobile web, and/or native apps (iOS/Android).
Experience building tools that enable and accelerate test automation scripting and increase the scope of automated test coverage.
Experience delivering QA programs, supporting ongoing QA operations and maturing QA processes.
Experience using Bug & Test Suite Management tools (X-ray, TestRail, Jira or other agile test management tools).
Exposure to Behavior Driven Development and experience in programming and testing.
A Bachelor’s degree in Computer Science, Computer Engineering, or a related field.
 Benefits 



We offer a decent salary based on real experience and expertise, rather than the region’s average industry salary.
You will collaborate with highly motivated, talented and inspiring team members.
Challenging and interesting software projects, not just tedious routine work.
Extensive remote work possibilities.
English classes, paid seminars, masterclasses, training and world-class conferences.
Performance review every six months.
Unforgettable team buildings in different countries.
 Famous US-based accommodation marketplace that provides access to 5+ million unique places to stay in more than 81,000 cities and 191 countries is looking for a talented SDET to build automated testing tools and automated tests that improve the quality of the product across the web, mobile web, and native apps."
Senior FS Python Developer,Vector Software,https://ua.indeed.com/cmp/Vector-Software?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp3f9dkcp7800&fromjk=9c217869ac9fad4b,Львів,"






Description




      Our project has over the last year developed a dashboarding system on our drilling rigs where we present data from the different historians on the rig. We use OPC-UA to communicate with historians and we use Python Dash to build apps for dashboarding.
     










Responsibilities:





Development and configuration of solution components
Implementation of tasks related to solution backend and front-end
Participation in Sprint planning, backlog reviews, and daily stand-up sessions
Close cooperation with product owners, usability experts and project team members
Code review and complete all assigned tasks in a timely and professional manner
Perform other related duties as required











Requirements:





Developer with good understanding and experience of developing web applications using Python,
Hands-on experience with Flask and databases
Solid experience working with Plotly or any Python charting library
Knowledge of JavaScript, HTML and CSS
Knowledge of React.JS/Vue.js/Angular will be a plus
Intermediate+ spoken and written English level











We offer:




Professional development:

Highly experienced professional community: more than 50% of employees have a senior level of competence
Personal development plan and regular Performance Appraisal
Clear rotation process with the opportunity to switch between different roles, projects or technology stack
Attendance of professional conferences, meetups and certifications (coverage upon on business needs)
Internal training programs, free SmartTalks and TechTalks inside the company
Access to Pluralsight
Corporate English classes

Well-being

Flexible schedule and possibility to work remotely: feel free to choose option upon your preferences
18 working days of paid vacation annually
10 working days of paid sick leave annually
Health insurance
Fully-equipped office gym and individual sport coverage

Fun

Corporate events and outstanding parties
Exciting team buildings (with allocated team budget)
Free barbeque zone in Lviv office
A fun zone with video and table games, ping pong
Loyalty program (IT club)








   If you need any further information, please do not
    hesitate to contact any of our recruiters.
    +380 93 436 58 85 
  




   Apply online 
    Or send your CV at job@vector-software.com
  

"
Java Developer,Pixels Matter,https://ua.indeed.com/cmp/Pixels-Matter?campaignid=mobvjcmp&from=mobviewjob&tk=1grnp3it3k98r800&fromjk=5f3e1d9c1b5a9aa7,Львів,"







Java Developer


 Lviv, Ukraine


 Full-Time



 In Person













 Are you looking for an innovative and cutting-edge technology company that will motivate you and support your career? Take charge of your career future at Pixels Matter and join us in our Lviv office.  We are a leading provider of technology content and services for the Location Based Industry. Maintaining a diversified IP portfolio in four primary market segments: M2M Intelligence, Golf Location Solutions, Vehicle Telematics and Geo-Data Solutions. As a Java Web Services developer, you will be a vital contributor to our inspiring and bold mission.


 Position Objective


 Java Web Services developer is responsible for development of back-end Java applications for a distributed multi-platform Asset tracking system. Candidate must have 3+ years of experience in a similar position.


 Duties and Responsibilities









               Develop distributed software architecture.
             


               Implement Back-end services (mainly in Java).
             


               Work with internal and off-site team of software engineers.
             


               Demonstrate the ability to work on multiple projects in an environment where priorities shift
             


               regularly.
             







 Qualifications









               Experience with Amazon Web Services, Java 8 and higher
             


               Ability to write clean and maintainable code
             


               Deep understanding of core Java concepts
             


               Experience with C++ and Python
             


               Wide experience in Spring (Framework, Boot, Data, Cloud, Hibernate)
             


               Strong knowledge Relational and Non-relational Data Base design principles (My SQL)
             


               Thorough understanding of software development life cycles and test processes
             


               Ability to create or review project technical documents and provide input as required
             


               Excellent problem analysis, troubleshooting and resolution skills
             


               Good communication skills
             


               Good command of English
             




 Additional Skills Desired (not required):





               Experience with development of client-server applications
             


               Experience with containerization (Docker, Kubernetes)
             


               Experience with data streaming (Kafka, AWS Kinesis)
             


               Experience with web client development (React.js, Angular)
             


               Experience with mobile platforms such as iOS, Android
             


               Experience with Amazon Web Services
             







 Travel Requirements








              Not Applicable
            







 What We Can Offer You








              Salary commensurate with experience.
            












"
